"'"Сибирская электронная площадка'""|http://www.sibtorgi.ru|Не включена в СРО ЭТП|(н/д)|(н/д)|"ООО '"СибЭПл'""|630005, г. Новосибирск, ул. Некрасова, д.50|5406792726|1145476131030|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=97d5c8c0-ca0e-44bc-9b99-48e194e37283
"'"ЭТП '"Агенда'""|http://www.etp-agenda.ru|Не включена в СРО ЭТП|(н/д)|(н/д)|"ООО '"Агенда'""|109029, г. Москва, ул. Талалихина, д.1, корп.3|7709909656|1127746627524|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=faef9cdd-45ac-4e46-ab48-d9305e209cfc
"'"ЭТС24'""|http://www.ets24.ru|Не включена в СРО ЭТП|(н/д)|(н/д)|"ФГУП '"Электронные торги и безопасность'""|197136, г. Санкт-Петербург, ул. Ординарная, д. 20, литер. В|7808013067|1037843048924|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=8501eccd-ee16-4bd2-b34a-ee5c270b0191
"'"ЭТП '"Агенда'""|http://www.etp-agenda.ru|Не включена в СРО ЭТП|(н/д)|(н/д)|"ООО '"Агенда'""|109029, г. Москва, ул. Талалихина, д.1, корп.3|7709909656|1127746627524|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=faef9cdd-45ac-4e46-ab48-d9305e209cfc
«Property Trade»|http://www.propertytrade.ru|"Ассоциация операторов электронных площадок '"Профессионалы электронного рынка'""|22.11.2016|(н/д)|ООО «ОТС»|192238 г. Санкт-Петербург, ул. Белы Куна, д. 3, лит. А, пом. 72, часть пом. 22-Н |7813486372|1107847379419|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=789e30a2-d097-43ca-890e-4c9f91a46b4e
«RUSSIA OnLine»|http://www.rus-on.ru|"Ассоциация операторов электронных площадок '"Профессионалы электронного рынка'""|22.11.2016|(н/д)|ООО «РУССИА ОнЛайн»|121087 г. Москва, ул. Заречная, д.5, к.2, кв. 12|7715401966|1157746027878|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=c3dca7e5-0561-4952-9cd4-ba267883a5ce
«Е-Тендер»|http://www.e-tender.su|Не включена в СРО ЭТП|(н/д)|(н/д)|ООО «Электронная площадка «Санкт-Петербург»|194356, г. Санкт-Петербург, пр. Королева, д. 63, корп. 2|7814550013|1127847511912|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=4e04a4c9-eff4-4d63-a24c-f0b369ead1d0
«Новые информационные сервисы»|http://nistp.ru|"Ассоциация операторов электронных площадок '"Профессионалы электронного рынка'""|22.11.2016|(н/д)|АО «Новые информационные сервисы»|119019, г. Москва, наб. Пречистенская д. 45/1, стр. 1, пом. 1, этаж 3, ком. 21.|7725752265|1127746228972|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=5b215029-d21d-49ec-8313-b8c8bfb6891a
«Региональная Торговая площадка»|http://www.regtorg.com|Союз Операторов Электронных Площадок|11.11.2016|(н/д)|ООО «Сирин»|125195, г. Москва,  ул. Беломорская, д. 14, корп. 2|7743795141|1107746810710|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=5b6773e6-4d94-4d0a-82e7-d1185cc3c0f6
«Системы ЭЛектронных Торгов»|http://www.selt-online.ru|Союз Операторов Электронных Площадок|11.11.2016|(н/д)|ООО «СЭлТ»|107143, г. Москва, ул.Вербная, д.6 стр.1 офис 12|7710761281|1097746806893|https://bankrot.fedresurs.ru/TradePlaceCard.aspx?ID=4cbe900c-8713-48fd-a685-d2793210e304
